transaction_id,transaction_date,transaction_type,community,project,building,property_type,rooms_bucket,area_sqft,price_aed,price_per_sqft,is_offplan
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,416.24,845810.52,2032.03,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,1BR,794.16,1208021.05,1521.13,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,416.24,833700.05,2002.93,True
BAY-2025-02-22-87447,2025-02-22,sale,Jumeirah Village Triangle (JVT),JVT District 5,The Vyne Residences,apartment,studio,593.52,940000.0,1583.77,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,421.84,765000.0,1813.48,True
BAY-2025-02-22-86765,2025-02-22,sale,Business Bay,Rove Home Marasi Drive,,apartment,studio,352.52,1082888.0,3071.85,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,2BR,1247.54,1615000.0,1294.55,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,416.24,767000.0,1842.69,True
BAY-2025-02-22-86819,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 11,Roma Residences by JRP,apartment,1BR,894.16,995759.19,1113.63,True
BAY-2025-02-22-3387,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 18,Dusit Princess Rijas,apartment,1BR,778.55,967376.0,1242.54,True
BAY-2025-02-22-3387,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 18,Dusit Princess Rijas,apartment,studio,343.58,555903.04,1617.97,True
BAY-2025-02-22-3387,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 18,Dusit Princess Rijas,apartment,studio,565.97,808932.0,1429.28,True
BAY-2025-02-22-83968,2025-02-22,sale,Discovery Gardens,Samana California,,apartment,1BR,855.51,1160568.0,1356.58,True
BAY-2025-02-22-84100,2025-02-22,sale,Dubai Sports City,Samana Golf Views,,apartment,studio,393.53,787000.0,1999.85,True
BAY-2025-02-22-87157,2025-02-22,sale,Al Wasl,Muraba Veil,,apartment,3BR+,4939.77,33903304.0,6863.34,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,418.72,780695.0,1864.48,True
BAY-2025-02-22-3387,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 18,Dusit Princess Rijas,apartment,studio,343.58,419076.0,1219.73,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,416.24,770721.87,1851.63,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,415.27,752000.0,1810.87,True
BAY-2025-02-22-87731,2025-02-22,sale,Dubai South,Azizi Venice,Azizi Venice 9,apartment,1BR,616.56,1120000.0,1816.53,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,1BR,747.34,1159654.74,1551.71,True
BAY-2025-02-22-83968,2025-02-22,sale,Discovery Gardens,Samana California,,apartment,2BR,2424.57,2375049.6,979.58,True
BAY-2025-02-22-3387,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 18,Dusit Princess Rijas,apartment,studio,340.57,569081.1,1670.97,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,1BR,745.94,1309680.0,1755.74,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,416.24,901949.95,2166.9,True
BAY-2025-02-22-3387,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 18,Dusit Princess Rijas,apartment,studio,335.08,531922.5,1587.45,True
BAY-2025-02-22-87133,2025-02-22,sale,Majan,Wadi 645,,apartment,1BR,774.68,960071.0,1239.31,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,studio,418.29,780631.58,1866.24,True
BAY-2025-02-22-3387,2025-02-22,sale,Jumeirah Village Circle (JVC),JVC District 18,Dusit Princess Rijas,apartment,studio,361.02,493817.0,1367.84,True
BAY-2025-02-22-87298,2025-02-22,sale,Dubai South,Azizi Venice,Azizi Venice 2,apartment,studio,344.88,677000.0,1963.0,True
BAY-2025-02-22-87274,2025-02-22,sale,Al Furjan,Azizi Jewel,,apartment,studio,348.32,532000.0,1527.33,True
BAY-2025-02-22-87961,2025-02-22,sale,Majan,Samana Barari Lagoons,,apartment,1BR,741.96,1168863.16,1575.37,True
BAY-2025-02-21-86557,2025-02-21,sale,Sobha Hartland 2,Riverside Crescent,310 Riverside Crescent,apartment,1BR,736.14,1877183.0,2550.04,True
BAY-2025-02-21-86787,2025-02-21,sale,International City,International City Phase 2 (Warsan 4),Sandy Avenue - 7 Seasons,apartment,studio,517.53,658298.0,1272.0,True
BAY-2025-02-21-87918,2025-02-21,sale,Dubai Production City (IMPZ),Binghatti Elite,,apartment,studio,375.88,500000.0,1330.21,True
BAY-2025-02-21-18009,2025-02-21,sale,Discovery Gardens,Mediterranean,Building 60,apartment,1BR,968.75,740000.0,763.87,True
BAY-2025-02-21-18462,2025-02-21,sale,Dubai Investment Park (DIP),Dubai Investment Park 2,Ritaj (Residential Complex),apartment,studio,490.51,413863.45,843.74,False
BAY-2025-02-21-86005,2025-02-21,sale,Meydan City,Meydan Avenue,Polo Residence,apartment,2BR,1492.95,2200000.0,1473.59,True
BAY-2025-02-21-1317,2025-02-21,sale,Downtown Dubai,Vida Residence Downtown,,apartment,1BR,731.3,2525000.0,3452.76,True
BAY-2025-02-21-16037,2025-02-21,sale,Meydan City,Meydan One,Azizi Riviera,apartment,1BR,633.13,992910.0,1568.26,True
BAY-2025-02-21-87950,2025-02-21,sale,Business Bay,Binghatti Skyrise,Binghatti Skyrise Tower B,apartment,studio,425.5,975000.0,2291.42,True
